step,tr_loss,tr_acc,val_loss,val_acc
7940,1.024750,0.6950,1.049596,0.6854
7960,1.010648,0.6987,1.052452,0.6854
7980,0.996593,0.7061,1.051265,0.6854
8000,0.986086,0.7106,1.048919,0.6863
8020,0.986498,0.7094,1.047637,0.6854
8040,0.986461,0.7100,1.046438,0.6863
8060,0.985090,0.7093,1.047332,0.6863
8080,0.990223,0.7071,1.047804,0.6872
8100,0.993066,0.7056,1.045830,0.6872
8120,0.991445,0.7050,1.045194,0.6835
8140,0.990881,0.7045,1.044955,0.6817
8160,0.991308,0.7041,1.047138,0.6835
8180,0.987323,0.7059,1.046147,0.6854
8200,0.986831,0.7053,1.042473,0.6854
8220,0.982875,0.7068,1.043006,0.6872
8240,0.984442,0.7063,1.045131,0.6881
8260,0.981234,0.7071,1.045195,0.6863
8280,0.982319,0.7070,1.043600,0.6881
8300,0.982291,0.7055,1.042166,0.6872
8320,0.986111,0.7042,1.041231,0.6881
8340,1.056484,0.6600,1.040729,0.6863
8360,1.013107,0.6983,1.038522,0.6900
8380,0.996571,0.7030,1.039603,0.6835
8400,0.996762,0.7000,1.040105,0.6826
8420,0.996869,0.7000,1.039777,0.6881
8440,0.975288,0.7068,1.039310,0.6854
8460,0.973355,0.7092,1.039131,0.6881
8480,0.983946,0.7053,1.037610,0.6881
8500,0.980250,0.7088,1.037996,0.6891
8520,0.982623,0.7074,1.037786,0.6881
8540,0.976268,0.7100,1.037978,0.6863
8560,0.971604,0.7122,1.040198,0.6872
8580,0.969011,0.7132,1.040413,0.6881
8600,0.970834,0.7126,1.037926,0.6854
8620,0.970833,0.7117,1.036772,0.6863
8640,0.963080,0.7142,1.039731,0.6789
8660,0.962560,0.7150,1.041307,0.6845
8680,0.967052,0.7126,1.037905,0.6900
8700,0.965927,0.7132,1.038217,0.6881
8720,0.970567,0.7109,1.034548,0.6891
8740,0.972425,0.7098,1.034833,0.6845
8760,0.977995,0.7069,1.034684,0.6835
8780,0.978719,0.7066,1.034099,0.6854
8800,0.977142,0.7060,1.034274,0.6845
8820,0.977699,0.7058,1.033735,0.6835
8840,1.062917,0.6575,1.033979,0.6909
8860,1.046122,0.6737,1.033507,0.6900
8880,1.016012,0.6858,1.033645,0.6891
8900,0.985238,0.7000,1.033190,0.6872
8920,0.963680,0.7090,1.032148,0.6891
8940,0.951266,0.7133,1.036964,0.6863
8960,0.964154,0.7104,1.030802,0.6863
8980,0.956327,0.7122,1.028719,0.6891
9000,0.953884,0.7150,1.031190,0.6872
9020,0.955066,0.7145,1.026821,0.6872
9040,0.958132,0.7136,1.027127,0.6881
9060,0.959846,0.7135,1.026478,0.6881
9080,0.958899,0.7127,1.025562,0.6881
9100,0.961267,0.7113,1.026908,0.6881
9120,0.964173,0.7108,1.025857,0.6891
9140,0.964635,0.7111,1.024479,0.6881
9160,0.969399,0.7093,1.024539,0.6872
9180,0.964946,0.7113,1.025081,0.6872
9200,0.965924,0.7104,1.026311,0.6872
9220,0.965864,0.7110,1.027461,0.6845
9240,0.967620,0.7101,1.029464,0.6826
9260,0.969229,0.7089,1.025957,0.6881
9280,0.969459,0.7082,1.028680,0.6881
9300,0.968246,0.7080,1.027991,0.6891
9320,0.934786,0.7050,1.021935,0.6909
9340,0.979103,0.7033,1.022677,0.6891
9360,0.976155,0.7030,1.023688,0.6872
9380,0.998497,0.6971,1.024847,0.6854
9400,0.992115,0.6978,1.022233,0.6872
9420,0.975879,0.7041,1.021254,0.6918
9440,0.970966,0.7065,1.021281,0.6891
9460,0.962405,0.7113,1.027097,0.6909
9480,0.955349,0.7138,1.029444,0.6891
9500,0.957250,0.7121,1.025429,0.6881
9520,0.952109,0.7160,1.023087,0.6909
9540,0.961950,0.7113,1.021917,0.6909
9560,0.964066,0.7094,1.022694,0.6854
9580,0.962796,0.7087,1.021064,0.6909
9600,0.972977,0.7048,1.021480,0.6900
9620,0.973025,0.7052,1.019959,0.6872
9640,0.970700,0.7062,1.017989,0.6891
9660,0.967734,0.7064,1.016223,0.6900
9680,0.969354,0.7054,1.016432,0.6891
9700,0.968226,0.7060,1.018448,0.6881
9720,0.971337,0.7044,1.017163,0.6891
9740,0.968797,0.7060,1.015612,0.6881
9760,0.961918,0.7086,1.015632,0.6927
9780,0.961758,0.7087,1.017156,0.6891
9800,0.965526,0.7105,1.015756,0.6881
9820,0.957675,0.7175,1.019849,0.6881
9840,0.985661,0.6913,1.019045,0.6854
9860,0.965578,0.7125,1.014958,0.6900
9880,0.952534,0.7150,1.014287,0.6900
9900,0.950929,0.7130,1.013232,0.6927
9920,0.952941,0.7133,1.012654,0.6900
9940,0.941959,0.7161,1.014209,0.6854
9960,0.934965,0.7203,1.014982,0.6891
9980,0.939004,0.7169,1.013959,0.6909
10000,0.938868,0.7188,1.017118,0.6863
10020,0.944205,0.7175,1.013016,0.6891
10040,0.945937,0.7142,1.012340,0.6872
10060,0.947055,0.7148,1.010415,0.6891
10080,0.945186,0.7164,1.011395,0.6881
10100,0.944331,0.7165,1.015637,0.6881
10120,0.947332,0.7139,1.016748,0.6900
10140,0.946982,0.7131,1.012528,0.6881
10160,0.946490,0.7133,1.008798,0.6909
10180,0.950339,0.7116,1.008470,0.6918
10200,0.950422,0.7113,1.010932,0.6863
10220,0.949057,0.7115,1.010157,0.6872
10240,0.950020,0.7106,1.007890,0.6927
10260,0.953152,0.7088,1.010187,0.6918
10280,0.951412,0.7087,1.011641,0.6927
